,ID,Path,Asset,Name,Description,Type,Value Unit Of Measure,Datasource Name,Archived,Source Value Unit Of Measure,Datasource ID,Template,Datasource Class,Cache Enabled,Data ID,Sync Token,Unsearchable,Enabled,Maximum Interpolation,Key Unit Of Measure,Cache ID,Interpolation Method,Formula,Formula Parameters,UIConfig
0,00887102-5667-45F1-B1E1-A61BFE4570DA,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Reactor 1,,Asset,,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Asset} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1,2023-05-10T21:53:03.269723,False,True,,,,,,,
1,05A059B3-CABA-4ED4-8BBD-A384CCD62CBD,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Operation,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Operation,2023-05-10T21:53:03.269723,False,True,2.0,ns,CBFD12D3-5ADA-4DBD-9906-7041FE5BEB22,Step,$signal,['signal=F9C31828-6336-457B-ACC6-62A83CA16D06'],
2,066BF501-71FF-41CA-8DFD-E56AE234F965,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Drug Substance Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Drug Substance Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,4F47CB5B-3830-4405-BD3E-0B7642BECF42,Linear,$signal,['signal=50F40B8B-F746-4691-BF98-EB561011EAAE'],
3,0BBC853E-58EF-4359-81D5-956F19AAF230,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Raw Material X Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Raw Material X Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,AD050FB8-8783-47AC-8ECE-B39F49EF7A47,Linear,$signal,['signal=1C1A2DD9-EBC5-4A25-AB28-4FDA488FDD6B'],
4,0E4641FD-29A3-4D32-AB24-5119B82415AC,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Reactor Temperature,,CalculatedSignal,째C,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Reactor Temperature,2023-05-10T21:53:03.269723,False,True,2.0,ns,FA1562B7-85B9-4816-9159-F1ED68C16D6A,Linear,$signal,['signal=C2D66100-0067-4D13-ABA9-CCFEF4F6E882'],
5,0FF536CE-0BD7-42F5-AAC5-C97BF6A3E8A8,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Phase,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Phase,2023-05-10T21:53:03.269723,False,True,2.0,ns,C077510B-CAAE-4926-9E08-5BC622104169,Step,$signal,['signal=917A87A4-8FBC-40C3-9459-092E36138313'],
6,14A47A66-9B85-41F6-8470-3E105E03AEE7,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Reactor Temperature,,CalculatedSignal,째C,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Reactor Temperature,2023-05-10T21:53:03.269723,False,True,2.0,ns,84BC6C56-CA9C-49D6-B215-19F60DFECBAA,Linear,$signal,['signal=56413F32-8292-4487-9D59-7B9A2FFBDB9B'],
7,16F317A2-2881-42C2-9E38-74F6871922FF,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Operation,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Operation,2023-05-10T21:53:03.269723,False,True,2.0,ns,5A91C53B-DFF9-42D1-88F1-A8202475A68C,Step,$signal,['signal=B39D9FD9-5922-4BEB-B182-990DB164A4B2'],
8,20E698F5-D561-4337-BC59-5D770233CC70,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Phase,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Phase,2023-05-10T21:53:03.269723,False,True,2.0,ns,F5D60DA7-CA4F-40C8-98FA-2C71412356AE,Step,$signal,['signal=F96A2B4D-4E3B-4E9D-9C51-C8B68E524585'],
9,22EF7C8C-D7C1-4742-A919-64990A657AD0,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Reactor 4,,Asset,,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Asset} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4,2023-05-10T21:53:03.269723,False,True,,,,,,,
10,28E9FF4D-94E5-4449-B6F4-1863E452F9D6,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Raw Material X Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Raw Material X Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,0EE15024-0F1F-6260-8AD2-B32E1FA1AB98,Step,$signal.validvalues().toStep(),['signal=416D099E-B920-402C-8792-7D9615A76758'],"{""type"":""formula"",""advancedParametersCollapsed"":true,""configVersion"":11,""helpShown"":true}"
11,294E54CB-537A-4501-B77F-DEDB86BC29BC,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Raw Material X Lot Number,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Raw Material X Lot Number,2023-05-10T21:53:03.269723,False,True,2.0,ns,30ACDCC2-99B1-4146-8007-192DE1BA10FB,Step,$signal,['signal=77262813-58F7-4246-9DE7-DBEA65595CF3'],
12,2DF490D0-C6C8-4F19-A59C-F8081292BC1E,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Raw Material X Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Raw Material X Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,B55C5432-BE7E-4724-87AD-459FFFB18F9A,Linear,$signal,['signal=6F85204F-6AEF-4453-885B-DEE293393ADA'],
13,2F905C67-C44E-40FF-BBA7-D83E14C15D87,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Reactor Temperature,,CalculatedSignal,째C,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Reactor Temperature,2023-05-10T21:53:03.269723,False,True,2.0,ns,EEFD5681-9A15-4093-879B-74726D00B184,Linear,$signal,['signal=CEE15F35-95B5-42B3-A091-11B6B89D5145'],
14,394C1CB3-4F11-464B-9389-DCC21914E59A,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Batch ID,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Batch ID,2023-05-10T21:53:03.269723,False,True,2.0,ns,9A832395-85A9-4627-81BA-FC4A01DE9173,Step,$signal,['signal=2C6881D7-2F02-418C-A3AF-CD1162052308'],
15,42A3AAB7-18F8-42B2-BF96-F2802AD2338B,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Drug Substance Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Drug Substance Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,E201C3E2-926C-4CC2-B6FB-E4639CFB5E23,Linear,$signal,['signal=769AA51C-7D64-44A1-8BAB-D2B871A7BECB'],
16,4331C046-AFDF-4E31-9961-4E08F0FA37F4,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Product,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Product,2023-05-10T21:53:03.269723,False,True,2.0,ns,8A14C5DE-0486-4891-8550-F324E5F9F8DB,Step,$signal,['signal=0AE41C22-39D2-4710-BB30-B877BA5D6B1C'],
17,46CE9CA5-A4C4-4D4C-867C-BD828FE6E23D,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Raw Material X Lot Number,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Raw Material X Lot Number,2023-05-10T21:53:03.269723,False,True,2.0,ns,7B3C0195-8EB8-42B7-8A38-DF8E2A2F2D15,Step,$signal,['signal=5C011997-BB70-4EBD-BFF8-82E9D10AAFA1'],
18,497B34FE-391D-4DFE-9F5C-ADD7CCE33DFC,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Operation,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Operation,2023-05-10T21:53:03.269723,False,True,2.0,ns,8C716515-C0DB-4BD7-8FF0-7155A969ED71,Step,$signal,['signal=38D0DCD4-1A14-4C16-8C9D-FA902FE2DFA5'],
19,4E4BBE56-3C09-47D7-BBA4-F37370DB0F4B,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Product,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Product,2023-05-10T21:53:03.269723,False,True,2.0,ns,93F7046D-9FBA-46BC-BAC1-1260D1563B79,Step,$signal,['signal=365CF2CE-DD90-4745-8C5B-404542040ED1'],
20,50063DB8-6358-4B87-BE3F-B77D9EF749F1,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Impurity 1,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Impurity 1,2023-05-10T21:53:03.269723,False,True,2.0,ns,6CAC2D00-E2C9-4C90-BAD1-D742F87D1D50,Linear,$signal,['signal=C674D47D-7BBE-4EC6-A16E-839BFA4484C5'],
21,54D73F5A-9909-4EB0-9280-E8E20C561B38,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Impurity 1,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Impurity 1,2023-05-10T21:53:03.269723,False,True,2.0,ns,42A3377F-ED12-4F50-94F3-21213A603E2B,Linear,$signal,['signal=30EE91C5-F755-45F3-BF45-9B113546D8A3'],
22,565C84AD-E0B1-49FB-813A-A31DA75FBA2B,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 1,Solution Concentration,,CalculatedSignal,g/L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 1 >> Solution Concentration,2023-05-10T21:53:03.269723,False,True,2.0,ns,62553219-4368-4A70-9252-231F9B9A8100,Linear,$signal,['signal=3FE609ED-F356-4E02-9A0C-5883E31CD875'],
23,578DE142-21ED-4D61-BAF6-9056DACD6731,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Downtime Reason Codes,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Downtime Reason Codes,2023-05-10T21:53:03.269723,False,True,2.0,ns,0893D729-C83A-446C-81E0-5DBEB4500220,Step,$signal,['signal=1E1F910C-6228-430A-96BD-51171791B6A7'],
24,58F8AD4D-6F40-4339-B191-5267F9FC40A6,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 2,Drug Substance Potency,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 2 >> Drug Substance Potency,2023-05-10T21:53:03.269723,False,True,2.0,ns,0A4A03E6-F051-4D35-876A-6179DCA42327,Linear,$signal,['signal=15CB22C9-933D-49BC-8EC7-D21CA86B77ED'],
25,64966D82-5A59-4B39-84BD-A4C5F321FC58,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 4,Agitation,,CalculatedSignal,rpm,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 4 >> Agitation,2023-05-10T21:53:03.269723,False,True,2.0,ns,BC9A4D54-FA8F-4828-9996-31AB833165C2,Linear,$signal,['signal=D0ECFD11-FEC5-4F0B-B817-5010C3E2E1D8'],
26,659DE8DA-3ADA-4D79-93A6-0D18128CB31D,Sample Assets >> Batch Products >> Product 1 >> Site 1,Reactor 3,Volume,,CalculatedSignal,L,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Batch Products >> Product 1 >> Site 1 >> Reactor 3 >> Volume,2023-05-10T21:53:03.269723,False,True,2.0,ns,74799B34-F729-4B4B-A67A-4FADE909B158,Linear,$signal,['signal=D38CCF3F-5493-42B9-8060-E2093E99454E'],
